FlightsPerYear,HotelNights,InternationalTrips,DomesticTrips,TravelPackagesPurchased,MuseumVisits,YearsTraveling,LifetimeFlights,LifetimeHotelNights,LifetimeInternationalTrips,LifetimeDomesticTrips,LifetimeTravelPackagesPurchased,LifetimeMuseumVisits,PreferredAirlineStatus,FrequentFlyer,BaggageHandled,TravelAgencyInteractions,TravelRelatedComplaints,AnnualTravelBudget,NewTravelerProgram
11.0,52.0,6.0,15.0,7.0,12.0,14.0,229.0,138.0,60.0,106.0,78.0,74.0,Gold,Miles & More,176.0,0.0,1.0,2766.166930392853,Global Explorer Initiative
24.0,85.0,2.0,6.0,13.0,3.0,49.0,672.0,344.0,52.0,182.0,152.0,94.0,Platinum,Miles & More,219.0,22.0,0.0,1092.50779118057,Adventure Start
35.0,136.0,4.0,12.0,10.0,7.0,8.0,326.0,190.0,62.0,126.0,85.0,33.0,Gold,Miles & More,396.0,52.0,3.0,5514.642571107524,Global Explorer Initiative
55.0,237.0,6.0,33.0,23.0,17.0,23.0,541.0,333.0,47.0,196.0,126.0,112.0,Platinum,AAdvantage,446.0,118.0,9.0,6500.748616075908,Adventure Start
0.0,16.0,0.0,1.0,0.0,0.0,29.0,600.0,322.0,72.0,199.0,144.0,95.0,Platinum,Miles & More,324.0,42.0,1.0,1518.0369666196964,Adventure Start
34.0,112.0,3.0,12.0,9.0,2.0,12.0,341.0,177.0,20.0,88.0,56.0,25.0,Platinum,Miles & More,116.0,111.0,9.0,1306.5149898411792,Adventure Start
66.0,192.0,5.0,23.0,26.0,16.0,20.0,327.0,172.0,29.0,90.0,71.0,54.0,Platinum,AAdvantage,492.0,30.0,1.0,1610.3235974426052,Adventure Start
28.0,90.0,5.0,15.0,7.0,10.0,20.0,413.0,225.0,75.0,159.0,135.0,68.0,Platinum,Miles & More,140.0,84.0,2.0,4435.083612823898,Adventure Start
57.0,177.0,2.0,36.0,14.0,18.0,17.0,489.0,279.0,63.0,218.0,118.0,130.0,Platinum,Miles & More,202.0,46.0,1.0,4344.98953827159,Adventure Start
47.0,125.0,8.0,36.0,20.0,9.0,9.0,198.0,104.0,46.0,82.0,56.0,38.0,Platinum,Miles & More,267.0,66.0,7.0,2361.7468500428367,Adventure Start
26.0,57.0,1.0,4.0,7.0,1.0,7.0,106.0,62.0,17.0,31.0,22.0,6.0,Gold,Miles & More,204.0,77.0,3.0,226.56236849613012,Global Explorer Initiative
1.0,2.0,2.0,1.0,5.0,0.0,6.0,20.0,10.0,7.0,4.0,5.0,5.0,Gold,AAdvantage,25.0,123.0,6.0,1354.1402203382033,Global Explorer Initiative
56.0,191.0,1.0,17.0,10.0,3.0,7.0,317.0,178.0,23.0,91.0,62.0,24.0,Gold,Miles & More,66.0,191.0,10.0,909.9970935998678,Adventure Start
30.0,105.0,7.0,26.0,12.0,3.0,14.0,280.0,152.0,63.0,138.0,79.0,43.0,Gold,Miles & More,84.0,1.0,0.0,866.5734814842549,Global Explorer Initiative
45.0,115.0,5.0,15.0,16.0,11.0,17.0,431.0,203.0,35.0,145.0,71.0,84.0,Platinum,AAdvantage,326.0,101.0,2.0,1552.9722390273685,Adventure Start
28.0,96.0,6.0,10.0,24.0,5.0,18.0,194.0,113.0,43.0,54.0,73.0,17.0,Gold,AAdvantage,167.0,100.0,1.0,1660.6456383025777,Global Explorer Initiative
29.0,103.0,3.0,16.0,11.0,2.0,5.0,48.0,31.0,18.0,17.0,19.0,10.0,Platinum,AAdvantage,356.0,3.0,0.0,2839.8492821463924,Adventure Start
16.0,72.0,1.0,7.0,5.0,4.0,4.0,26.0,15.0,8.0,12.0,5.0,6.0,Gold,AAdvantage,255.0,13.0,0.0,3586.887774603141,Global Explorer Initiative
36.0,98.0,4.0,12.0,16.0,11.0,41.0,656.0,356.0,70.0,202.0,154.0,117.0,Gold,AAdvantage,476.0,138.0,4.0,7801.191827401938,Global Explorer Initiative
32.0,68.0,4.0,13.0,11.0,10.0,42.0,933.0,465.0,98.0,292.0,193.0,148.0,Gold,AAdvantage,47.0,46.0,2.0,6418.714018144773,Global Explorer Initiative
12.0,40.0,1.0,10.0,2.0,3.0,23.0,357.0,170.0,34.0,113.0,72.0,43.0,Gold,Miles & More,56.0,59.0,5.0,643.182626509161,Global Explorer Initiative
53.0,200.0,1.0,28.0,14.0,5.0,2.0,32.0,24.0,10.0,19.0,15.0,7.0,Gold,AAdvantage,158.0,84.0,5.0,5442.62243387209,Global Explorer Initiative
79.0,201.0,2.0,20.0,11.0,11.0,4.0,154.0,85.0,8.0,37.0,24.0,5.0,Gold,Miles & More,307.0,179.0,10.0,590.1599051254019,Adventure Start
73.0,258.0,4.0,35.0,24.0,15.0,24.0,469.0,257.0,41.0,151.0,93.0,79.0,Gold,AAdvantage,191.0,196.0,10.0,8003.841799665115,Global Explorer Initiative
22.0,68.0,0.0,13.0,3.0,2.0,1.0,65.0,55.0,5.0,38.0,9.0,4.0,Platinum,Miles & More,17.0,20.0,5.0,2461.8813795617384,Adventure Start
51.0,178.0,2.0,26.0,14.0,11.0,21.0,260.0,128.0,44.0,94.0,72.0,53.0,Gold,Miles & More,116.0,26.0,0.0,337.2668196994808,Global Explorer Initiative
